Abbreviation,Meaning
CVA,Cerebrovascular Accident (stroke)
CVAT,Costovertebral Angle Tenderness
CVD,Cardiovascular Disease
CVI,Cerebral Visual Impairments
CVID,Common Variable Immune Deficiency
CVP,Central Venous Pressure
CVS,Cardiovascular System
CXR,Chest X-Ray
D Exon,Diversity Exon
D/H,Discharge Home
d/o,disorder
d/t,due to
d/w,discuss with
D5W,5% dextrose in water
DA,Decision Aid
DA,Dopamine
DAD,Delayed Afterdepolarization
DAG,Diacylglycerol
DAMP,Damage Associated Molecular Pattern
DASH,Dietary Approaches to Stopping Hypertension
DAT,Direct Antiglobulin Test
DBD,Donation after Brain Death
DBP,Diastolic Blood Pressure
DBT,Dialectical Behavior Therapy
DC,Dendritic Cell
DC/ML,Dorsal Column/Medial Lemniscal
DCCT,Diabetes Control and Complications Trial
DCD,Donation after Cardiac Death
DCM,Dilated Cardiomyopathy
DDAVP,Desmopressin (1-desamino-8-D-arginine vasopressin)
DDK,Dysdiadochokinesia
DDx,Differential Diagnosis
DESD,Detrusor External Sphincter Dyssynergia
DEXA,Dual-Energy X-ray Absorptiometry
DHAP,Dihydroxyacetone Phosphate
DHT,Dihydrotestosterone
DI,Diabetes Insipidus
DICT,"Dense, Irregular, Connective Tissue"
Diff,Differential
DIP,Desquamative Interstitial Pneumonia
DIP,Distal Interphalangeal joint
DIT,diiodothyronine
DKA,Diabetic Ketoacidosis
DLBCL,Diffuse Large B-Cell Lymphoma
DLCO,Diffusing Capacity for Carbon Monoxide
DLT,Dual Lumen Tube
DM,Diabetes Mellitus
DM,Donor Milk
DMARDs,Disease-Modifying Antirheumatic Drugs
DMPA,Depot Medroxyprogesterone Acetate
DMSA,DiMercaptoSuccinic Acid (renal scan)
DNA,Deoxyribonucleic Acid
DNAR,Do Not Attempt Resuscitation
DNES,Diffuse Neuroendocrine System
DNR,Do Not Resuscitate
DOA,Dead On Arrival
DOAC,Direct Oral Anticoagulant
DOE,Disease Oriented Evidence/outcome
DOE,Dyspnea On Exertion
DOL,Day Of Life
DORV,Double Outlet Right Ventricle
DPN,Deep Peroneal Nerve
DPN,Diabetic Peripheral Neuropathy
DPOA,Durable Power of Attorney
DPP,Dipeptidyl Peptidase
DPR,Direct Peritoneal Resuscitation
DQ,Developmental Quotient
DR,Delayed Release
DRE,Digital Rectal Exam
DRG,Dorsal Root Ganglion (aka PRG)
DSD,Disorders of Sex Development
DSM,Diagnostic and Statistical Manual of Mental Disorders
DSM-5-TR,"Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition, Text Revision"
DST,Dexamethasone Suppression Test
DTH,Delayed-Type Hypersensitivity
DTR,Deep Tendon Reflex
DUMBBELLS,"Diarrhea, Urination, Miosis, Bradycardia, Bronchospasm, Emesis, Lacrimation, Lethargy, and Salivation/Seizures"
DVT,Deep Vein Thrombosis
DWI,Diffusion Weighted Imaging
EAD,Early Afterdepolarization
EAEC,Enteroaggregative Escherichia coli
EBM,Evidence-Based Medicine
EBM,Expressed Breast Milk
ECBV,Effective Circulating Blood Volume
ECF,Extracellular Fluid
ECG,Electrocadiogram
Echo,Echocardiography
ECM,Extracellular Matrix
ECMO,ExtraCorporeal Membrane Oxygenation
ECPR,Extracorporeal CardioPulmonary Resuscitation
ECT,Electroconvulsive Therapy
ED,Emergency Department
ED,Erectile Dysfunction
EDPVR,End Diastolic Pressure-Volume Relationship
EDRF,Endothelial-Derived Relaxing Factor
EDS,Ehlers-Danlos Syndrome
EDV,End Diastolic Volume
EEG,Electroencephalogram
EER,Experimental Event Rate
EF,Ejection Fraction
eFAST,Extended Focused Assessment with Sonography for Trauma
EHEC,Enterohemorrhagic Escherichia coli
EHR,Electronic Health Record
EIEC,Enteroinvasive Escherichia coli
EIEE,Early Infantile Epileptic Encephalopathy
EKG,Electrocardiogram
EM,Electron Microscopy
EMDR,Eye-Movement Desensitization and Reprocessing
EMG,Electromyography
EMR,Electronic Medical Record
EMT,Epithelial-to-Mesenchymal Transition
EMTALA,Emergency Medical Treatment and Labor Act
ENS,Enteric Nervous System
EOS,Early-Onset Sepsis
EOT,End of Therapy
EPDS,Edinburgh Postnatal/Postpartum Depression Scale
EPEC,Enteropathogenic Escherichia coli
Epi,Epidemiology
Epi,Epinephrine
EPS,Extra Pyramidal Symptoms
EPSP,Excitatory Postsynaptic Potential 
EPT,Expedited Partner Therapy
ER,Emergency Room
ER,Endoplasmic Reticulum
ERT,Extubation Readiness Trial
ERV,Expiratory Reserve Volume
ESI,Emergency Severity Index
ESR,Erythrocyte Sedimentation Rate
ESRD,End-Stage Renal Disease
ESV,End Systolic Volume
ESWL,Extracorporeal Shock Wave Lithotripsy
ETC,Electron Transport Chain
ETEC,Enterotoxigenic Escherichia coli
EUA,Exam Under Anesthesia
EUS,External Urethral Sphincter
EVD,ExtraVentricular Drain
f/t/h,found to have
f/u,follow up
FA,Fascia Adherens
FAO,Fatty Acid Oxidation
FAST,Focused Assessment with Sonography for Trauma
FB,Foreign Body
FCR,Flexor Carpi Radialis
FCU,Flexor Carpi Ulnaris
FDP,Flexor Digitorum Profundus
FDS,Flexor Digitorum Superficialis
FENa,Fractional Excretion of sodium
FEV1,Forced Expiratory Volume in 1 second
FFA,Free Fatty Acids
FGF,Fibroblast Growth Factor
FGID,Functional Gastrointestinal Disorder
FH,Family History
FHx,Family History
FISH,Fluorescence in Situ Hybridization
FL,Follicular Lymphoma
FLACC,"Face, Legs, Activity, Cry, Consolability"
FMEA,Failure Modes and Effects Analysis
FND,Focal Neuro Deficits
FND,Functional Neurologic Disorder
FOB,Father of Baby
FPG,Fasting Plasma Glucose
FPIES,Food Protein-Induced Enterocolitis Syndrome
FRC,Functional Reserve Capacity
FSH,Follicular Stimulating Hormone
FT,Full Term
FVC,Forced Vital Capacity
FWF,Free Water Flushes
fx,fracture
G6P,Glucose-6-Phosphate
G6PD,Glucose-6-Phosphate Dehydrogenase
GABA,γ-Amino Butyric Acid
GAD,Generalized Anxiety Disorder
GAD-7,Generalized Anxiety Disorder 7
GAG,Glycosaminoglycans
GALT,Gut Associated Lymphatic Tissue
GAS,Group A Streptococcus
GBS,Group B Streptococcus
GC,Gonococcal
GDM,Gestational Diabetes Mellitus
GDP,Guanosine Diphosphate
GERD,GastroEsophageal Reflux Disease
GFAP,Glial Fibrillary Acidic Protein
GFP,Green Fluorescent Protein
GFR,Glomerular Filtration Rate
GH,Growth Hormone
GI,Gastrointestinal
GIP,Glucose-dependent Insulinotropic Polypeptide
GJ,Gap Junction
GLP,Glucagon-Like Peptide
GLUT,Glucose Transporter
GMFCS,Gross Motor Function Classification System
GNC,Gender-Nonconforming
GNG,Gluconeogenesis
GnRH,Gonadotropin-Releasing Hormone
GOO,Gastric Outlet Obstruction
GP,General Practitioner
GPCRs,G Protein--Coupled Receptors
GSW,Gun Shot Wound
GTP,Guanosine Triphosphate
GU,Genitourinary
GV,Growth Velocity
GxPx,"Gravidity and Parity (number of times pregnant, number of times given birth)"
H&E,Hematoxylin & Eosin staining
H&P,History & Physical
HA,Histamine
HAP,Hospital-Acquired Pneumonia
HASS,Hospital Asthma Severity Score
Hb,Hemoglobin
HBPM,Home Blood Pressure Monitoring
HBsAg,Hepatitis Surface Antigen
HC,Head Circumference
HCL,Hairy Cell Leukemia
HCM,Hypertrophic Cardiomyopathy
HCQ,Hydroxychloroquine
HCT,Hematocrit
HCT,Hydrocortisone
HCTZ,Hydrochlorothiazide
HCV,Hepatitis C Virus
HD,Hemodialysis
HDL,High-Density Lipoprotein
HDS,HemoDynamically stable
HEEADSSS,"Home, Education/Employment, Eating, Activities, Drugs, Sexuality, Suicide/Depression, and Safety"
HEENT,"Head, Ears, Eyes, Nose, Throat"
HELLP,"Hemolysis, Elevated Liver enzymes, and Low Platelet count Syndrome"
Hep,Hepatitis
HEVs,High Endothelial Venules
HFA,HydroFluoroAlkane (for inhalers)
HFE,Human Factors Engineering
HFP,Hepatic Function Panel
HFpEF,Heart Failure with preserved Ejection Fraction (diastolic heart failure)
HFrEF,Heart Failure with reduced Ejection Fraction (systolic heart failure)
HGB,Plasma Hemoglobin Concentration
HH,Hypogonadotropic Hypogonadism
HHC,Home Health Care
HHD,Hypertensive Heart Disease
HHS,Health and Human Services
HINE,Hammersmith Infant Neurologic Examination
HIPAA,Health Insurance Portability and Accountability Act
HIT,Heparin-Induced Thrombocytopenia
HIV,Human Immunodeficiency Virus
HKAFO,Hip-Knee-Ankle-Foot Orthosis
HLA,Human Leukocyte Antigen 
HLD,Hyperlipidemia
HLH,Hemophagocytic LymphoHistiocytosis
HLHS,Hypoplastic Left Heart Syndrome
HLOC,Higher Level of Care
HM,Human Milk
HME,Heat and Moisture Exchanger
HOL,Hour Of Life
HPA Axis,Hypothalamic-Pituitary-Adrenal Axis
HPETE,hydroperoxyeicosatetraenoic acid
hpf,high-power field
HPI,History of Present Illness
HPO Axis,Hypothalamus-Pituitary-Ovarian Axis
HPV,Human Papillomavirus
HR,Heart Rate
HRRR,Heart Regular Rate and Rhythm
HSC,Hematopoetic Stem Cell
HSCT,Hematopoietic Stem Cell Transplantation
HSM,Hepatosplenomegaly
HSV,Herpes Simplex Virus
HTN,Hypertension
HTS,HyperTonic Saline
HTx,Heart Transplant
I&D,Incision and Drainage
IAP,Inferior Articular Process
IBD,Irritable Bowel Disease
IBS,Irritable Bowel Syndrome
IBW,Ideal Body Weight
IC,Inspiratory Capacity
ICA,Islet Cell Antibody
ICD,Implantable Cardioverter Defibrillator
ICF,Intracellular fluid
ICH,Intracerebral Hemorrhage
ICP,Intensive Care Pediatrics
ICS,Inhaled Corticosteroid
ICS,Intercostal Space
ICU,Intensive Care Unit
IDDM,Insulin Dependent Diabetes Mellitus
IDF,Infant-Directed Feeding
IDR,Incidence Density Rate
IEP,Individualized Education Program
IESS,Infantile Epileptic Spasms Syndrome
IFG,Impaired Fasting Glucose
IGF,Insulin Growth Factor
IGR,Insulin to Glucagon Ratio
IGT,Impaired Glucose Tolerance
IHC,Immunohistochemistry
IHD,Ischemic Heart Disease
IIH,Idiopathic Intracranial Hypertension
IM,IntraMuscular
IMA,Inferior Mesenteric Artery
IMA,Intrinsic Sympathomimetic Activity
IMV,Inferior Mesenteric Vein
IN,IntraNasal
INH,Isonicotinic Acid Hydrazide (Isoniazid)
INO,Internuclear Opthalmoplegia
INR,International Normalized Ratio
IOB,Insulin On Board
IOL,Interosseous Ligament
IOP,IntraOcular Pressure
IP3,Inositol Triphosphate
IPASS,"Illness severity, Patient summary, Action list, Situation awareness and contingency planning, Synthesis by reciever"
IPF,Idiopathic Pulmonary Fibrosis
IPLOC,InPatient Level of Care
IPSP,Inhibitory Postsynaptic Potential
IR,Immediate Release
IR,Interventional Radiology
IRIS,Immune Reconstitution Inflammatory Syndrome
IRV,Inspiratory Reserve Volume
ISF,Interstitial Fluid
iso,in setting of
ITB,IntraThecal Baclofen
IUD,Intrauterine Device
IUFD,IntraUterine Fetal Demise
IUGR,Intrauterine Growth Restriction
IUS,Internal Urethral Sphincter
IV,IntraVenous
IV,Intervertebral discs
IVC,Inferior Vena Cava
IVIg,Intravenous Immunoglobulin
IVIG,Intravenous Immunoglobulin
IVMP,IV MethylPrednisolone
IVP,Intravenous Pyelogram
JIA,Juvenile Idiopathic Arthritis
JVD,Jugular Venous Distention
JVP,Jugular Venous Pressure
KD,Kawasaki Disease
KLA,Kaposiform LymphAngiomatosis
KUB,"Kidney, Ureter, and Bladder x-ray"
L1-L5,Lumbar vertebra 1-5
LA,Left Atrium
LAD,Left Anterior Descending (anterior interventricular artery)
LATCH,"Latch, Audible swallowing, Type of nipple, Comfort, Hold"
LBL,Lymphoblastic Lymphoma/Leukemia
LBW,Lean Body Weight
LCA,Left Coronary Artery
LDH,Lactate Dehydrogenase
LDL,Low-Density Lipoprotein
LES,Lower Esophageal Sphincter
LET,"Lidocaine, Epinephrine, and Tetracaine"
LFB,Luxol Fast Blue
LGA,Large for Gestational Age
LGV,Lymphogranuloma Venereum
LH,Luteinizing Hormone
LM,Light Microscopy
LMA,Laryngeal Mask Airway
LMP,Last Menstrual Period
LMW,Low-Molecular Weight (heparin)
LNG,Levonorgestrel
LOC,Loss Of Consciousness
LOPS,Loss of Protective Sensation
LPL,Lymphoplasmacytic Lymphoma
LQTS,Long QT Syndrome
LR,Likelihood Ratio
LSB,Left Sternal Border
LSC,Lung Sounds Clear
LTAC,Long-Term Acute Care
LTD,Long-Term Depression
LTG,Long-Term Goal
LTP,Long-Term Potentiation
LTR,LaryngoTracheal Reconstruction
LV,Left Ventricle
LVAD,Left Ventricular Assist Device
LVH,Left Ventricular Hypertrophy
M,Myelin sheath
M-CHAT,Modified Checklist for Autism in Toddlers
M-CSF,Macrophage Colony Stimulating Factor
m/k/d,mL/kg/day
MA,Macula Adherens
MAHA,Microangiopathic Hemolytic Anemia
MALT,Mucosal Associated Lymphoid Tissue
MAO,Monoamine Oxidase
MAOI,Monoamine Oxidase Inhibitor
MAPKs,Mitogen-Activated Protein Kinases
MAPS,MI Automated Prescription System
MAR,Medication Administration Record
MAS,Macrophage Activation Syndrome
MCH,Mean Corpuscular Hemoglobin
MCHC,Mean Corpuscular Hemoglobin Concentration
MCI,Mass Casualty Incident
MCL,Mantle Cell Lymphoma
MCL,Medial Collateral Ligament
MCL,Mid-Clavicular Line
MCP,Metacarpophalangeal
MCV,Mean Corpuscular Volume
MDD,Major Depressive Disorder
MDI,Metered Dose Inhaler
MDI,Multiple Daily Injections
MDS,Meconium Drug Screen
MetS,Metabolic Syndrome
MF,Muscle Fiber
MFF,Mycophenolate Mofetil
MFN,Muscle Fiber Nuclei
MGF,Maternal Grandfather
MGM,Maternal Grandmother
MHC,Major Histocompatibility Complex
MI,Myocardial Infarction
MIS-C,Multisystem Inflammatory Syndrome in Children
Mit,Mitochondria
MIT,monoiodothyronine
mIVF,Maintenance IV Fluids
mkd,mL/kg/day
MLF,Medial Longitudinal Fasciculus
MME,Morphine Milligram Equivalent
MMM,Moist Mucus Membranes
MMP,Matrix Metalloproteinase
MMSE,Mini-Mental Status Exam
MNT,Medical Nutrition Therapy
MOA,Mechanism of Action
MOAS,Modified Overt Aggression Scale
MODY,Maturity-Onset Diabetes in the Young
mPAS,modified Pediatric Appendicitis Score
MPH,Mid-Parental Height
MPO,myeloperoxidase
MPV,Mean Platelet Volume
MRG,"Murmurs, Rubs, or Gallops"
MRI,Magnetic Resonance Imaging
MRN,Medical Record Number 
MRSA,Methicillin-Resistant Staphylococcus aureus
MS,Morphine Sulfate
MS,Multiple Sclerosis
MSAF,Meconium-Stained Amniotic Fluid
MSE,Mental Status Examination
MSH,Melanocyte Stimulating Hormone
MSK,Musculoskeletal
MSM,Men who have Sex with Men
MSU,Monosodium Urate
MT,Microtubules
MTX,Methotrexate
MUAC,Mid Upper Arm Circumference
MV,Mitral Valve
MVA,Motor Vehicle Accident
MVC,Motor Vehicle Collision
MVI,MultiVitamin Injection
MVP,Mitral Valve Prolapse
MVP Pathway,"Motion, Vibration, and Position (DC/ML)"
MVRSA,Methicillin- and Vancomycin-Resistant Staphylococcus aureus
N/V/D,Nausea/Vomiting/Diarrhea
NABS,NormoActive Bowel Sounds
NAEO,No Acute Events Overnight
NAFLD,Non-Alcoholic Fatty Liver Disease 
NAOE,No Acute Overnight Events
NAS,Neonatal Abstinence Syndrome
NAS,Non-caloric Artificial Sweeteners
NASH,Non-Alcoholic Steatohepatitis
NAT,Non-Accidental Trauma
NAVA,Neurally Adjusted Ventilatory Assist
NB,Nota Bene (Note well)
NBS,NewBorn Screen
NCAT,NormoCephalic/Atraumatic
NCIT,Non-Contact Infrared Thermometer
NDM,Neonatal Diabetes Mellitus
NE,Narrative Exposure
NE,Norepinephrine
NEC,Necrotizing Enterocolitis
NEE,Non-Epileptic Event
NEJ,Neuroeffector Junction
NET,Narrative Exposure Therapy
NET,Norepinephrine Transporter
NFC,Neoformed Contaminants
NFP,Net Filtration Pressure
NGTD,No Growth To Date
NHANES,National Health and Nutrition Examination Survey
NIPS,Neonatal Infant Pain Scale
NIRS,Near Infrared Spectroscopy
NKA,No Known Allergies
NKDA,No Known Drug Allergies
NKR,National Kidney Registry
NKSS,Non-Keratinized Stratified Squamous
NMDA,N-methyl-D-aspartate
NMJ,Neuromuscular Junction
NMS,Neuroleptic Malignant Syndrome
NNDSS,National Notifiable Diseases Surveillance System
NNH,Numbers Needed to Harm
NNRTI,Non-Nuceloside Reverse Transcriptase Inhibitor
NNT,Numbers Needed to Treat
NO,Nitric Oxide
NORSE,New-Onset Refractory Status Epilepticus
NOS,Nitric Oxide Synthase
NOWS,Neonatal Opioid Withdrawal Syndrome
NPA,NasoPharyngeal Airway
NPi,Neurological Pupil index
NPT3,Na+-Phosphate Cotransporter 3
NRB,Non Re-Breather
NRDI,Norepinephrine-Dopamine Reuptake Inhibitor
NRS,Numerical Rating Scale
NRTI,Nuceloside Reverse Transcriptase Inhibitor
NSAID,Non-Steroidal Anti-Inflammatory Drugs
NSB,Normal Saline Bolus
NSIP,Nonspecific Interstitial Pneumonia
NSSI,Non-Suicidal Self-Injury
NSTI,Necrotizing Soft Tissue Infection
NSVD,Normal Spontaneous Vaginal Delivery
NT,Neurotransmitter
NT/ND,"Non-Tender, Non-Distended"
NTD,Nothing To Do
NTDON,Nothing To Do OverNight
NTS,Nucleus Tractus Solitarius
NURS,"Naming the Feeling/Emotion, Understanding, Respecting (Praising or Appreciating the Patient and/or Acknowledging His/Her Situation), Supporting"
NVD,"Nausea, Vomiting, and Diarrhea"
o/n,overnight
O&P,Ova & Parasites
OA,Osteoarthritis
OAB,Overactive Bladder
OAE,Otoacoustic Emission Testing
OAP,Other Active Problems
OATS,Osteochondral Autograft Transplantation System
OCD,Obsessive-Compulsive Disorder
OCD,OsteoChondritis Dissecans
ODS,Osmotic Demyelination Syndrome
OFC,Occipital Frontal Circumference
OGTT,Oral Glucose Tolerance Test
OH,Orthostatic Hypotension
OHVIRA,Obstructed HemiVagina and Ipsilateral Renal Anomaly (aka Herlyn–Werner–Wunderlich syndrome)
OI,Osteogenesis Imperfecta
OI,Oxygenation Index
OIC,Opioid Induced Constipation
OIH,Opioid-Induced Hyperalgesia/Hypersensitivity
OLD,Obstructive Lung Disease
OLV,One Lung Ventilation
OPA,OroPharyngeal Airway
OPG,Osteoprotegerin
OPIM,Other Potentially Infectious Material 
OPPQQRRST,"Onset and chronology, Position, Precipitating factors, Quality, Quantification, Radiation, Related symptoms, Setting, and Transforming factors (aggravating/alleviating)"
OR,Odds Ratio
ORIF,Open Reduction Internal Fixation
OSFED,Other Specified Feeding or Eating Disorder
OSA,Obstructive Sleep Apnea
OSH,OutSide Hospital
OT,One Touch (blood glucose meter)
OTC,Over The Counter
OTT,OroTracheal Tube
OTW,On The Way
OVN,Overnight
OXT,Oxytocin
P,Probability
p/w,presents with
PA,Posteroanterior (rays travel posterior to anterior)
PAB,Pronation Abduction
PAD,Peripheral Artery Disease
PAG,Periaqueductal Grey region
PAH,Para-aminohippurate
PAI,Plasminogen Activator Inhibitor
PAMPs,Pathogen Associated Molecular Patterns
PANDAS,Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcal infections
PAO,PeriAcetabular Osteotomy
PARDS,Pediatric Acute Respiratory Distress Syndrome
PARF,Population Attributable Risk Fraction
PAS,Periodic Acid-Schiff
PCA,Patient-Controlled Analgesic
PCNL,PerCutaneous NephroLithotomy
PCOS,Polycystic Ovary Syndrome
PCT,Procalcitonin
PD,Panic Disorder
PDA,Patent Ductus Arteriosus
PDA,Pathological Demand Avoidance
PDD,Persistent Depressive Disorder
PDEs,Phosphodiesterases
PDGF,Platelet-Derived Growth Factor
PDMP,Prescription Drug Management Program
PDMP,Prescription Drug Monitoring Program
PDN,Private Duty Nurse
PDW,Passive Death Wish
PE,Physical Exam
PE,Pulmonary Embolism
PEA,Pulseless Electrical Activity
PECARN,Pediatric Emergency Care Applied Research Network
PED,Pediatric Emergency Department
PEERL,Pupils Equal and Equally Reactive to Light
PEG,"Pain, Enjoyment, General activity"
PEM,Pediatric Emergency Medicine
PEP,Phosphoenolpyruvate
PEP,Positive Expiratory Pressure
PEP,Post-Exposure Prophylaxis
